"Автор";"Плюсы";"Закладки";"Комментарии";"Просмотры"
"Diafilm";"29";"60";"2";"8600"
"Ollisteka";"26";"76";"15";"8900"
"Orenleto";"11";"32";"19";"20400"
"ylian_demakova";"307";"849";"162";"135600"
"matt_kontur";"25";"25";"5";"6800"
"xoposhiy";"61";"111";"29";"18000"
"BeeVee";"17";"76";"4";"8500"
"green_hippo";"108";"113";"51";"21734"
"tenebricosa";"53";"96";"7";"12900"
"dscheg";"70";"63";"31";"14700"
"Wolonter";"65";"189";"186";"41300"
"gnkoshelev";"154";"355";"71";"62500"
"JasonZiglar";"4";"37";"2";"10400"
"ezsilmar";"28";"100";"8";"13500"
"Tinsane";"8";"25";"0";"3000"
