"Заголовок";"Плюсы";"Закладки";"Комментарии";"Просмотры";"URL";"Автор";"Дата"
"Разбор задач с конференции Hydra — балансировка нагрузки и in-memory хранилища";"25";"30";"9";"3100";"https://habr.com/ru/company/skbkontur/blog/459958/";"green_hippo";"15.07.2019"
"[Екатеринбург, анонс] Флаттертон — воркшоп про разработку на Flutter";"12";"12";"2";"2100";"https://habr.com/ru/company/skbkontur/blog/458906/";"tenebricosa";"08.07.2019"
"Самый крупный хакатон Контура: упоротая гуля и любовь к окружающей среде";"11";"12";"9";"1800";"https://habr.com/ru/company/skbkontur/blog/456122/";"ylian_demakova";"18.06.2019"
"[Анонс: Екатеринбург, Новосибирск, Ижевск, Казань] Хакатон – Урбатон: делаем сервисы для горожан";"14";"4";"0";"1600";"https://habr.com/ru/company/skbkontur/blog/449298/";"ylian_demakova";"24.04.2019"
"[Ижевск и Пермь, анонс] Тёплая и транзисторная онлайн-трансляция CodeFest X";"4";"3";"0";"434";"https://habr.com/ru/company/skbkontur/blog/445894/";"green_hippo";"29.03.2019"
"Оценка сроков на разработку и тестирование задачи (не нужна)";"65";"189";"186";"41300";"https://habr.com/ru/company/skbkontur/blog/444484/";"Wolonter";"27.03.2019"
"Moira участвует в Google Summer of Code 2019";"19";"11";"0";"2500";"https://habr.com/ru/company/skbkontur/blog/444806/";"green_hippo";"22.03.2019"
"Контур.Кампус: приглашаем в бесплатный студенческий лагерь промышленной разработки под Питером";"12";"7";"0";"2400";"https://habr.com/ru/company/skbkontur/blog/444352/";"ylian_demakova";"19.03.2019"
"[Анонс для Екатеринбурга, Новосибирска, Питера] QAutomation Test Session: Покроем тестами все от Невы до Оби";"11";"4";"6";"1400";"https://habr.com/ru/company/skbkontur/blog/438074/";"ylian_demakova";"30.01.2019"
"Культура обратной связи: как не скатиться до обвинений";"13";"27";"0";"3900";"https://habr.com/ru/company/skbkontur/blog/433628/";"ylian_demakova";"19.12.2018"
"«Календарь тестировщика» за декабрь. Попробуй другой подход";"7";"59";"15";"9200";"https://habr.com/ru/company/skbkontur/blog/433132/";"ylian_demakova";"14.12.2018"
"«Календарь тестировщика» за ноябрь. Разумное парное тестирование";"7";"16";"2";"3300";"https://habr.com/ru/company/skbkontur/blog/431460/";"ylian_demakova";"29.11.2018"
"[Екатеринбург, анонс] java.ural.Meetup @2 — анонс второго Java-митапа + видео докладов с java.ural.Meetup @1";"12";"9";"9";"1500";"https://habr.com/ru/company/skbkontur/blog/352934/";"gnkoshelev";"12.11.2018"
"«Календарь тестировщика» за октябрь. Обратная связь: как это бывает";"8";"23";"0";"2700";"https://habr.com/ru/company/skbkontur/blog/428089/";"ylian_demakova";"29.10.2018"
