"Хаб";"Плюсы";"Закладки";"Комментарии";"Просмотры"
"Разработка веб-сайтов";"58";"216";"10";"18600"
"Разработка мобильных приложений";"8";"9";"0";"1400"
"Информационная безопасность";"70";"61";"31";"14100"
"Веб-аналитика";"5";"7";"0";"1100"
"Разработка игр";"34";"29";"38";"9400"
"Scala";"19";"92";"4";"10300"
"Криптография";"70";"61";"31";"14100"
"Серверная оптимизация";"6";"26";"2";"4100"
"Офисы IT-компаний";"18";"59";"7";"8300"
"Яндекс API";"17";"21";"23";"4300"
"Искусственный интеллект";"17";"21";"23";"4300"
"Управление продуктом";"19";"22";"0";"3700"
"Управление персоналом";"31";"74";"51";"10700"
"Компиляторы";"56";"97";"33";"16100"
"Java";"172";"353";"89";"49202"
"Ненормальное программирование";"71";"131";"27";"19100"
"Учебный процесс в IT";"82";"186";"64";"32700"
"Программирование";"223";"467";"111";"63202"
"Анализ и проектирование систем";"17";"31";"5";"4600"
"Высокая производительность";"24";"56";"10";"10400"
"Тестирование IT-систем";"121";"382";"21";"49200"
"API";"10";"19";"0";"1600"
"Тестирование мобильных приложений";"25";"112";"4";"14300"
"Big Data";"19";"92";"4";"10300"
"Клиентская оптимизация";"17";"133";"5";"8300"
"Системы сборки";"17";"133";"5";"8300"
"C#";"153";"203";"62";"33600"
"Алгоритмы";"74";"180";"40";"21700"
"Спортивное программирование";"71";"131";"27";"19100"
"IT-компании";"17";"38";"49";"6700"
"Конференции";"94";"125";"50";"20002"
"Управление разработкой";"18";"56";"1";"6800"
"Графический дизайн";"20";"32";"9";"7100"
"Интерфейсы";"17";"21";"23";"4300"
"Параллельное программирование";"29";"57";"2";"7200"
"Карьера в IT-индустрии";"31";"50";"82";"11000"
"ReactJS";"17";"45";"5";"6000"
"JavaScript";"58";"216";"10";"18600"
"Visual Studio";"11";"12";"3";"2000"
"Тестирование веб-сервисов";"139";"425";"24";"54600"
"Хакатоны";"51";"50";"61";"13700"
"Блог компании Контур";"648";"1415";"310";"203102"
"Аналитика мобильных приложений";"11";"29";"0";"4400"
"Функциональное программирование";"9";"2";"6";"1100"
"Веб-дизайн";"20";"32";"9";"7100"
".NET";"122";"136";"43";"24102"
