"Заголовок";"Плюсы";"Закладки";"Комментарии";"Просмотры";"URL";"Автор"
"[Екатеринбург, анонс] java.ural.Meetup @2 — анонс второго Java-митапа + видео докладов с java.ural.Meetup @1";"12";"6";"7";"802";"https://habr.com/company/skbkontur/blog/352934/";"gnkoshelev"
"«Календарь тестировщика» за октябрь. Обратная связь: как это бывает";"8";"19";"0";"1800";"https://habr.com/company/skbkontur/blog/428089/";"ylian_demakova"
"«Календарь тестировщика» за сентябрь. Оптимизируй тесты";"6";"26";"2";"4100";"https://habr.com/company/skbkontur/blog/424349/";"ylian_demakova"
"Где учатся аналитики?";"11";"29";"0";"4400";"https://habr.com/company/skbkontur/blog/421717/";"ylian_demakova"
"«Календарь тестировщика» за август. Прочти книгу";"18";"59";"7";"8300";"https://habr.com/company/skbkontur/blog/421101/";"ylian_demakova"
"[Екатеринбург, анонс] UralJS #9 — три доклада про микросервисы, тестирование и логирование ошибок на фронте";"6";"10";"0";"1300";"https://habr.com/company/skbkontur/blog/420671/";"tenebricosa"
"Завтра ICFP Contest 2018, ура! (+полезное для участвующих в первый раз)";"9";"2";"6";"1100";"https://habr.com/company/skbkontur/blog/417583/";"green_hippo"
"[Екатеринбург, анонс] Алиса в гостях у Контура — хакатон по созданию навыков для голосовых помощников";"17";"21";"23";"4300";"https://habr.com/company/skbkontur/blog/417419/";"green_hippo"
"Видео с митапа UralJS #8 — работаем с сырыми данными в браузере и пишем навыки для Алисы";"10";"19";"0";"1600";"https://habr.com/company/skbkontur/blog/417427/";"tenebricosa"
"«Календарь тестировщика» за июль. Тестирование аналитики";"12";"24";"5";"3500";"https://habr.com/company/skbkontur/blog/417287/";"ylian_demakova"
"Парный постмортем: как победить Ктулху и ещё 2000 человек";"26";"77";"15";"8400";"https://habr.com/company/skbkontur/blog/416607/";"Ollisteka"
"[Екатеринбург, анонс] Митап аналитиков — о первых аналитиках и CBAP, о метриках, о госсекторе и видах аналитиков";"5";"7";"0";"1100";"https://habr.com/company/skbkontur/blog/415181/";"matt_kontur"
"Кибер–бабка, или как мы хакатонили сутки";"20";"17";"5";"5100";"https://habr.com/company/skbkontur/blog/414817/";"matt_kontur"
"«Календарь тестировщика». Тестировщик должен поймать баг, прочитать Канера и организовать движуху";"14";"36";"2";"4000";"https://habr.com/company/skbkontur/blog/414451/";"ylian_demakova"
"[Анонс] Хабы для соревнования на CodinGame.com в семи городах России";"8";"24";"0";"2800";"https://habr.com/company/skbkontur/blog/413577/";"Tinsane"
"Хакнули систему: как мы изменили подбор и адаптацию разработчиков";"17";"38";"49";"6700";"https://habr.com/company/skbkontur/blog/412705/";"ylian_demakova"
"«Календарь тестировщика». Нагрузи сервис";"9";"17";"0";"2300";"https://habr.com/company/skbkontur/blog/358234/";"ylian_demakova"
"«Календарь тестировщика». Метрики на службе у QA";"6";"35";"0";"3800";"https://habr.com/company/skbkontur/blog/353928/";"ylian_demakova"
"[Санкт-Петербург, анонс] SpbDotNet #30 — доклады о телеметрии .NET-микросервисов и анализаторах кода ReSharper и Roslyn";"11";"12";"3";"2000";"https://habr.com/company/skbkontur/blog/353708/";"green_hippo"
"[Екатеринбург, анонс] UralJS #7 — три доклада о React Native, удобной навигации в SPA и принципах работы с DateTime";"8";"9";"0";"1400";"https://habr.com/company/skbkontur/blog/353548/";"tenebricosa"
"О стримах и таблицах в Kafka и Stream Processing, часть 1";"19";"92";"4";"10300";"https://habr.com/company/skbkontur/blog/353204/";"gnkoshelev"
"Разбор перформансных задач с JBreak (часть 4)";"32";"41";"23";"5700";"https://habr.com/company/skbkontur/blog/351812/";"gnkoshelev"
"Хакатон и гейм-джем в Екатеринбурге";"14";"12";"33";"4300";"https://habr.com/company/skbkontur/blog/351898/";"ylian_demakova"
"«Календарь тестировщика». Протестируй безопасность";"7";"87";"4";"10300";"https://habr.com/company/skbkontur/blog/351806/";"ylian_demakova"
"Разбор перформансных задач с JBreak (часть 3)";"16";"34";"8";"3200";"https://habr.com/company/skbkontur/blog/351540/";"gnkoshelev"
"Разбор перформансных задач с JBreak (часть 2)";"26";"51";"11";"8500";"https://habr.com/company/skbkontur/blog/351300/";"gnkoshelev"
"Как мы переняли опыт Khan Academy и сделали свой курс для тестировщиков";"12";"33";"3";"4100";"https://habr.com/company/skbkontur/blog/351178/";"ylian_demakova"
"Ускорение сборки JavaScript-кода с использованием webpack 2–3";"17";"133";"5";"8300";"https://habr.com/company/skbkontur/blog/351080/";"ylian_demakova"
"Разбор перформансных задач с JBreak (часть 1)";"24";"56";"10";"10400";"https://habr.com/company/skbkontur/blog/350800/";"gnkoshelev"
"Kontur Mobile Test Session: 446 багов за 5 часов";"9";"8";"0";"1700";"https://habr.com/company/skbkontur/blog/350484/";"ylian_demakova"
"[Екатеринбург, анонс] Новые Java-митапы в Екатеринбурге: java.ural.Meetup @1";"11";"5";"2";"1500";"https://habr.com/company/skbkontur/blog/349766/";"gnkoshelev"
"[Екатеринбург, анонс] Botters of the Galaxy CodingHub в офисе Контура";"8";"11";"1";"1700";"https://habr.com/company/skbkontur/blog/349478/";"xoposhiy"
"«Календарь тестировщика» за февраль. Узнай своего клиента";"14";"15";"0";"2600";"https://habr.com/company/skbkontur/blog/349274/";"ylian_demakova"
"«Календарь тестировщика». Разбери бэклог";"18";"56";"1";"6800";"https://habr.com/company/skbkontur/blog/349300/";"ylian_demakova"
"Как мы перевернули календарь и сделали из него арт-объект";"20";"32";"9";"7100";"https://habr.com/company/skbkontur/blog/348620/";"ylian_demakova"
"Видео с митапа UralJS #6 — избавляемся от this, типизируем Redux-приложение и пишем на Реакте без тормозов";"7";"27";"2";"3400";"https://habr.com/company/skbkontur/blog/349042/";"tenebricosa"
"Экспресс-оценка сложности алгоритма (+разбор задачи c Joker 2017 и DotNext 2017 Moscow)";"32";"68";"24";"8800";"https://habr.com/company/skbkontur/blog/348870/";"xoposhiy"
"Интересные сюрпризы ConcurrentDictionary (+разбор задачи с DotNext 2017 Moscow)";"29";"57";"2";"7200";"https://habr.com/company/skbkontur/blog/348508/";"Diafilm"
"Неслучайная случайность, или Атака на ГПСЧ в .NET";"70";"61";"31";"14100";"https://habr.com/company/skbkontur/blog/347758/";"dscheg"
